name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,327893,73,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,4
Born This Way,Born This Way (International Special Edition Version),Lady Gaga,2011-05-23,260253,74,0.00327,0.587,0.828,0.0,0.331,-5.108,0.161,123.907,4
Attention,Voicenotes,Charlie Puth,2018-05-11,208786,81,0.109,0.775,0.613,2.33e-05,0.134,-4.586,0.0542,100.066,4
Little Do You Know,It's About Us,Alex & Sierra,2014-10-06,185200,76,0.746,0.5,0.292,0.0,0.188,-8.554,0.0323,145.879,4
Domino,Who You Are (Platinum Edition),Jessie J,2011-01-01,231840,75,0.0117,0.758,0.557,0.0,0.0418,-4.568,0.034,126.986,4
Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
Shut Up and Dance,TALKING IS HARD,WALK THE MOON,2014-12-02,199080,82,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,80,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4
Back To December,Speak Now,Taylor Swift,2010-10-25,293026,69,0.117,0.529,0.67,0.0,0.334,-4.663,0.0303,141.893,4
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-13,252534,54,0.247,0.475,0.606,0.0,0.125,-6.646,0.0346,94.994,4
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2016-12-09,245200,1,0.0631,0.735,0.451,1.3e-05,0.325,-8.374,0.0585,117.973,4
Please Don't Go,Please Don't Go,Joel Adams,2015-11-06,210580,73,0.0118,0.513,0.768,1.94e-05,0.294,-4.868,0.0587,84.264,4
Set Fire to the Rain,21,Adele,2011-01-19,241693,4,0.00382,0.61,0.683,1.79e-06,0.125,-3.879,0.0253,108.003,4
Teenage Dream,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,227760,73,0.0132,0.719,0.804,3.02e-06,0.139,-4.581,0.0355,119.999,4
Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,171029,78,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4
The Bones,GIRL,Maren Morris,2019-03-08,197293,6,0.279,0.612,0.57,0.0,0.0963,-6.642,0.0347,77.004,4
Stay,Stay,Zedd,2017-02-23,210090,76,0.253,0.69,0.622,0.0,0.116,-5.025,0.0622,102.04,4
You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,78,0.00929,0.771,0.671,0.0,0.0637,-5.617,0.0553,85.026,4
Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,83,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4
"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,216773,83,0.185,0.673,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
Sugar,V,Maroon 5,2014-09-02,235493,81,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,4
It's You,It's You,Ali Gatie,2019-06-14,212606,3,0.374,0.732,0.463,0.0,0.194,-6.972,0.0287,95.971,4
