name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Who Do You Love,World War Joy...Push My Luck,The Chainsmokers,2019-11-08,226746,0,0.00791,0.51,0.835,0.0,0.219,-4.673,0.0447,140.024,4
New Rules,Dua Lipa (Complete Edition),Dua Lipa,2015,209320,55,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4
Let Me Down Slowly,Narrated For You,Alec Benjamin,2018-11-16,169353,84,0.74,0.652,0.557,0.0,0.124,-5.714,0.0318,150.073,4
In the Name of Love,The Martin Garrix Experience,Martin Garrix,2019-07-10,195706,39,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,133.99,4
Silence,Silence,Marshmello,2017-08-11,180822,80,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4
Let You Love Me,Phoenix (Deluxe Edition),Rita Ora,2018-11-23,191120,68,0.275,0.475,0.846,0.0,0.0824,-3.344,0.283,96.036,4
Always Remember Us This Way,A Star Is Born Soundtrack (Without Dialogue),Lady Gaga,2018-10-05,210200,80,0.299,0.553,0.502,0.0,0.764,-5.972,0.0409,129.976,4
Price Tag,Who You Are (Platinum Edition),Jessie J,2011-01-01,223053,74,0.0294,0.636,0.831,3.85e-06,0.272,-3.945,0.182,175.015,4
Grip,Grip,Seeb,2018-12-06,198074,58,0.331,0.598,0.904,0.0,0.264,-2.293,0.0507,138.091,4
Waiting For Love,Stories,Avicii,2015-10-02,230613,80,0.31,0.579,0.736,0.0,0.198,-3.863,0.0527,127.999,4
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,189109,75,0.3,0.794,0.711,0.0,0.0955,-5.124,0.0699,174.915,4
Without Me,Without Me,Halsey,2018-10-04,201660,80,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
7 Years,Lukas Graham (Blue Album),Lukas Graham,2015-06-16,237300,52,0.29,0.742,0.479,0.0,0.391,-5.83,0.0551,119.951,4
Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,80,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,4
no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,79,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
Budapest,Wanted on Voyage,George Ezra,2014-06-27,200720,6,0.0883,0.714,0.451,0.0,0.108,-8.268,0.0276,127.787,4
Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,85,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4
Am I Wrong,Black Star Elephant,Nico & Vinz,2014,245866,78,0.175,0.729,0.675,1.58e-06,0.55,-6.003,0.0312,119.968,4
DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),Usher,2010-03-30,220800,80,0.0338,0.663,0.861,0.0,0.082,-3.398,0.109,119.963,4
We Can Do Better,After The Landslide,Matt Simons,2019-04-05,179895,0,0.036,0.636,0.687,1.8e-05,0.0663,-4.853,0.0583,91.079,4
Sugar,V (Deluxe),Maroon 5,2015-05-18,235493,62,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,4
Chandelier,1000 Forms Of Fear,Sia,2014-07-04,216120,79,0.0197,0.399,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5
Love Someone,3 (The Purple Album),Lukas Graham,2018-10-26,205440,62,0.172,0.538,0.409,0.0,0.11,-6.581,0.0505,171.838,4
Rather Be (feat. Jess Glynne),New Eyes,Clean Bandit,2014-06-02,227833,70,0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,120.97,4
Bad Blood,1989 (Deluxe),Taylor Swift,2014-01-01,211933,60,0.0885,0.646,0.794,6.16e-06,0.201,-6.104,0.19,170.216,4
Als Het Avond Is,Gedeeld Door Ons,Suzan & Freek,2019-09-27,205714,54,0.528,0.725,0.47,0.0,0.113,-7.215,0.0301,104.984,4
Before I Go,Before I Go,Guy Sebastian,2018-11-02,209424,54,0.419,0.603,0.519,0.0,0.103,-5.814,0.0552,89.119,4
Only Girl (In The World),Loud,Rihanna,2010-11-16,235493,73,0.129,0.789,0.716,1.07e-05,0.069,-4.241,0.0432,125.906,4
A Sky Full of Stars,Ghost Stories,Coldplay,2014-05-19,267866,78,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,4
Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,OMI,2015-10-16,180565,77,0.166,0.782,0.685,1.18e-05,0.16,-6.237,0.0309,118.016,4
Candy,Take The Crown - Exclusive Track By Track,Robbie Williams,2012-01-01,201053,0,0.0351,0.72,0.805,0.0,0.0675,-5.505,0.0395,116.057,4
IDGAF,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,217946,79,0.0403,0.836,0.544,0.0,0.0824,-5.975,0.0943,97.028,4
This Town,Flicker (Deluxe),Niall Horan,2017-10-20,232852,79,0.712,0.677,0.401,0.0,0.116,-8.467,0.0308,111.825,4
Moves Like Jagger,Singles,Maroon 5,2015-09-25,202640,68,0.0113,0.72,0.751,0.0,0.353,-4.484,0.0462,128.017,4
Thunder,Evolve,Imagine Dragons,2017-06-23,187146,84,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,167.997,4
More Than You Know,More Than You Know,Axwell /\ Ingrosso,2017-07-28,203000,80,0.0275,0.646,0.741,0.0,0.312,-4.973,0.034,123.077,4
FRIENDS,FRIENDS,Marshmello,2018-02-09,202620,80,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079,4
Cheap Thrills,This Is Acting,Sia,2016-01-29,211666,77,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4
7 rings,7 rings,Ariana Grande,2019-01-18,178640,2,0.578,0.725,0.321,0.0,0.0884,-10.744,0.323,70.142,4
Rise,Blue,Jonas Blue,2018-11-09,194407,70,0.327,0.687,0.785,0.0,0.203,-4.65,0.0333,106.046,4
Happy Now,Happy Now,Kygo,2018-10-26,211362,71,0.374,0.693,0.575,0.0,0.252,-6.998,0.0801,117.999,4
Solo (feat. Demi Lovato),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,222706,69,0.0357,0.74,0.622,4.85e-05,0.356,-4.608,0.0446,104.966,4
Liefde In De Lucht,DADDY,Kraantje Pappie,2018-11-30,212954,46,0.147,0.743,0.695,0.0,0.105,-6.53,0.162,81.025,4
2U (feat. Justin Bieber),7,David Guetta,2018-09-14,194893,61,0.234,0.534,0.613,0.0,0.227,-7.41,0.0591,144.878,4
Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016-05-06,197933,77,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,4
Issues,Nervous System,Julia Michaels,2017-07-28,176320,71,0.39,0.67,0.415,0.0,0.0617,-6.855,0.0786,114.212,4
Darkside,Different World,Alan Walker,2018-12-14,211680,74,0.131,0.43,0.606,0.0,0.173,-5.115,0.0431,169.988,4
Let Me Love You,Encore,DJ Snake,2016-08-05,205946,82,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4
One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,82,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4
Let Her Go,All The Little Lights,Passenger,2012,252866,11,0.385,0.509,0.538,0.0,0.104,-7.335,0.0572,75.089,4
Up Till Dawn (On The Move),Up Till Dawn (On The Move),Lucas & Steve,2017-04-28,186405,52,0.222,0.639,0.726,0.0,0.108,-5.254,0.0657,117.874,4
Fast Car,Blue,Jonas Blue,2018-11-09,212424,74,0.469,0.672,0.578,0.0,0.312,-6.621,0.0569,113.945,4
Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,81,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,83,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4
"Fire On Fire - From ""Watership Down""","Fire On Fire (From ""Watership Down"")",Sam Smith,2018-12-21,246735,71,0.476,0.584,0.407,0.0,0.18,-7.356,0.046,115.124,4
Ik Neem Je Mee,Deze Wereld Is Van Jou,Gers Pardoel,2011-01-01,217760,56,0.184,0.701,0.66,0.0,0.115,-7.476,0.248,62.55,4
Burn,Halcyon Days,Ellie Goulding,2014-01-01,231211,71,0.31,0.559,0.777,0.0,0.105,-5.031,0.0432,87.016,4
Hey Brother,True,Avicii,2013-09-13,255093,5,0.0309,0.545,0.78,4.64e-05,0.0828,-4.867,0.0436,125.014,4
Shallow,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,215733,85,0.371,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,4
Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,251173,72,0.383,0.717,0.73,0.0,0.398,-4.729,0.0568,102.002,4
Back to You (feat. Bebe Rexha & Digital Farm Animals),Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,2017-07-21,190427,70,0.207,0.683,0.53,0.0,0.394,-4.918,0.142,75.016,4
Skyfall,Skyfall,Adele,2012-10-04,286480,81,0.417,0.346,0.552,0.0,0.114,-6.864,0.0282,75.881,4
Paradise,Mylo Xyloto,Coldplay,2011-10-24,278719,80,0.0509,0.449,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,4
